feature,metadata,direction,N,N_not_zero,pval,qval
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Porphyromonadaceae,Archaea,present,2250,1740,2.43e-15,5.03e-13
Bacteria.Bacillota_A.Clostridia.Peptostreptococcales.Anaerovoracaceae,Archaea,present,2250,827,1.85e-14,1.92e-12
Bacteria.Pseudomonadota.Gammaproteobacteria.Burkholderiales.Burkholderiaceae,Archaea,present,2250,1579,2.50e-13,1.73e-11
Bacteria.Actinomycetota.Actinomycetes.Mycobacteriales.Mycobacteriaceae,Archaea,present,2250,2214,6.26e-13,3.24e-11
Bacteria.Bacillota_A.Clostridia.Oscillospirales.Oscillospiraceae,Archaea,present,2250,738,3.84e-10,9.93e-09
Bacteria.Bacillota_A.Clostridia....,Archaea,present,2250,943,5.31e-10,1.22e-08
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Campylobacteraceae,Archaea,present,2250,1768,7.05e-10,1.46e-08
Bacteria.Bacillota_A.Clostridia.Oscillospirales.Acutalibacteraceae,Archaea,present,2250,731,1.80e-09,3.11e-08
Bacteria.Bacillota_A.Clostridia.Tissierellales.Peptoniphilaceae,Archaea,present,2250,2241,1.77e-09,3.11e-08
Bacteria.Bacillota.Bacilli.Lactobacillales.Streptococcaceae,Archaea,present,2250,1843,1.36e-08,1.75e-07
Bacteria.Patescibacteria.Saccharimonadia.Saccharimonadales.Nanoperiomorbaceae,Archaea,absent,2250,284,2.51e-08,3.06e-07
Bacteria.Bacillota_A.Clostridia.Oscillospirales.Ruminococcaceae,Archaea,present,2250,1048,3.08e-08,3.55e-07
Bacteria.Bacillota_A.Clostridia.TANB77.CAG.508,Archaea,present,2250,401,5.35e-08,5.83e-07
Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae,Archaea,absent,2250,2250,8.52e-08,8.40e-07
Bacteria.Bacillota.Bacilli.Staphylococcales.Staphylococcaceae,Archaea,present,2250,2084,2.02e-07,1.82e-06
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales..,Archaea,present,2250,1702,2.64e-07,2.28e-06
Bacteria.Actinomycetota.Actinomycetes.Actinomycetales.Actinomycetaceae,Archaea,present,2250,2134,3.57e-07,2.86e-06
Bacteria.Actinomycetota.Actinomycetes.Actinomycetales.Brevibacteriaceae,Archaea,present,2250,847,3.59e-07,2.86e-06
