	PatID	Archaea
SRR5944959	SP09	0
SRR5944960	ST10	0
SRR5944961	ST10	1
SRR5944962	ST10	0
SRR5944963	ST10	0
SRR5944964	ST10	0
SRR5944965	ST10	0
SRR5944966	ST10	0
SRR5944967	ST10	0
SRR5944969	ST10	0
SRR5944970	SP09	0
SRR5944971	SP06	0
SRR5944972	ST10	0
SRR5944973	ST10	0
SRR5944976	ST10	0
SRR5944977	ST10	0
SRR5944978	ST10	0
SRR5944979	ST10	0
SRR5944980	ST10	0
SRR5944981	ST10	0
SRR5944982	SP04	0
SRR5944983	SP04	0
SRR5944984	SP02	0
SRR5944985	SP02	1
SRR5944986	SP05	0
SRR5944987	SP05	0
SRR5944988	SP04	0
SRR5944989	SP04	0
SRR5944990	SP02	0
SRR5944991	SP04	0
SRR5944994	ST10	0
SRR5944995	ST10	0
SRR5944996	ST10	0
SRR5944997	ST10	0
SRR5944998	ST10	0
SRR5944999	ST10	0
SRR5945000	ST10	0
SRR5945001	ST10	0
SRR5945002	SP09	0
SRR5945003	SP06	0
SRR5945004	SP05	0
SRR5945005	SP05	0
SRR5945006	SP02	0
SRR5945007	SP02	0
SRR5945008	SP04	0
SRR5945009	SP04	0
SRR5945010	SP04	0
SRR5945011	SP04	0
SRR5945012	SP05	0
SRR5945013	SP05	0
SRR5945014	SP06	0
SRR5945016	SP06	0
SRR5945018	SP06	0
SRR5945019	SP06	0
SRR5945020	SP04	0
SRR5945023	SP01	0
SRR5945024	SP01	0
SRR5945025	SP01	0
SRR5945026	SP01	0
SRR5945027	SP01	0
SRR5945028	SP01	0
SRR5945029	SP01	0
SRR5945030	SP01	0
SRR5945032	SP06	0
SRR5945033	SP01	0
SRR5945034	SP01	0
SRR5945036	SP05	0
SRR5945037	SP02	0
SRR5945038	SP05	0
SRR5945039	SP05	0
SRR5945040	SP05	0
SRR5945041	SP02	0
SRR5945042	SP02	0
SRR5945043	SP04	0
SRR5945044	SP04	0
SRR5945045	SP04	0
SRR5945046	SP02	1
SRR5945047	SP04	0
SRR5945048	SP06	0
SRR5945049	SP06	0
SRR5945052	SP01	0
SRR5945053	SP01	0
SRR5945056	SP01	0
SRR5945057	SP01	0
SRR5945060	SP06	0
SRR5945061	SP04	0
SRR5945062	SP05	0
SRR5945063	SP05	0
SRR5945064	SP04	0
SRR5945065	SP04	0
SRR5945066	SP04	0
SRR5945067	SP02	0
SRR5945068	SP02	0
SRR5945069	SP05	0
SRR5945070	SP06	0
SRR5945071	SP04	0
SRR5945072	SP02	0
